Date : 2026-03-12 12:04:43
Directory : c:\Users\jyoti\emergecy
Total : 201 files,  113632 codes, 1076 comments, 3148 blanks, all 117856 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| safetrack-frontend\src\modules\dashboard                                                                            |          1 |        232 |         17 |         27 |        276 |
| safetrack-frontend\src\modules\dashboard\pages                                                                      |          1 |        232 |         17 |         27 |        276 |
| safetrack-frontend\src\modules\emergency                                                                            |          3 |        681 |         25 |         61 |        767 |
| safetrack-frontend\src\modules\emergency\api                                                                        |          1 |         21 |          0 |          6 |         27 |
| safetrack-frontend\src\modules\emergency\pages                                                                      |          2 |        660 |         25 |         55 |        740 |
| safetrack-frontend\src\modules\geospartial                                                                          |          4 |        588 |         65 |         76 |        729 |
| safetrack-frontend\src\modules\geospartial\api                                                                      |          1 |        136 |         18 |         18 |        172 |
| safetrack-frontend\src\modules\geospartial\components                                                               |          1 |        392 |         37 |         45 |        474 |
| safetrack-frontend\src\modules\geospartial\pages                                                                    |          1 |          5 |          1 |          2 |          8 |
| safetrack-frontend\src\modules\geospartial\styles                                                                   |          1 |         55 |          9 |         11 |         75 |
| safetrack-frontend\src\modules\incident-predictions                                                                 |          2 |        311 |          3 |         33 |        347 |
| safetrack-frontend\src\modules\incident-predictions\api                                                             |          1 |         58 |          0 |          9 |         67 |
| safetrack-frontend\src\modules\incident-predictions\components                                                      |          1 |        253 |          3 |         24 |        280 |
| safetrack-frontend\src\modules\incidents                                                                            |          8 |      1,569 |         75 |        150 |      1,794 |
| safetrack-frontend\src\modules\incidents\api                                                                        |          1 |         54 |         11 |          8 |         73 |
| safetrack-frontend\src\modules\incidents\components                                                                 |          2 |        524 |         30 |         58 |        612 |
| safetrack-frontend\src\modules\incidents\pages                                                                      |          5 |        991 |         34 |         84 |      1,109 |
| safetrack-frontend\src\modules\predictions                                                                          |          4 |        336 |         16 |         40 |        392 |
| safetrack-frontend\src\modules\predictions (Files)                                                                  |          3 |        299 |         15 |         32 |        346 |
| safetrack-frontend\src\modules\predictions\api                                                                      |          1 |         37 |          1 |          8 |         46 |
| safetrack-frontend\src\modules\preparedness                                                                         |          4 |        800 |         47 |         86 |        933 |
| safetrack-frontend\src\modules\preparedness\api                                                                     |          1 |         23 |          1 |          4 |         28 |
| safetrack-frontend\src\modules\preparedness\components                                                              |          1 |        213 |         16 |         34 |        263 |
| safetrack-frontend\src\modules\preparedness\pages                                                                   |          2 |        564 |         30 |         48 |        642 |
| safetrack-frontend\src\modules\realtime                                                                             |          3 |        188 |          5 |         45 |        238 |
| safetrack-frontend\src\modules\realtime (Files)                                                                     |          1 |        110 |          2 |         35 |        147 |
| safetrack-frontend\src\modules\realtime\components                                                                  |          2 |         78 |          3 |         10 |         91 |
| safetrack-frontend\src\modules\resourcePredictions                                                                  |          2 |        114 |          1 |         17 |        132 |
| safetrack-frontend\src\modules\resourcePredictions (Files)                                                          |          1 |        108 |          1 |         14 |        123 |
| safetrack-frontend\src\modules\resourcePredictions\api                                                              |          1 |          6 |          0 |          3 |          9 |
| safetrack-frontend\src\modules\tasks                                                                                |          3 |        705 |         46 |         72 |        823 |
| safetrack-frontend\src\modules\tasks\api                                                                            |          1 |         41 |          5 |          6 |         52 |
| safetrack-frontend\src\modules\tasks\components                                                                     |          1 |        317 |         25 |         30 |        372 |
| safetrack-frontend\src\modules\tasks\pages                                                                          |          1 |        347 |         16 |         36 |        399 |
| safetrack-frontend\src\router                                                                                       |          2 |        104 |          1 |         26 |        131 |
| safetrack-frontend\src\tests                                                                                        |         10 |      1,248 |         34 |        349 |      1,631 |
| safetrack-frontend\src\tests (Files)                                                                                |          1 |         28 |          2 |          3 |         33 |
| safetrack-frontend\src\tests\modules                                                                                |          7 |        564 |         30 |        154 |        748 |
| safetrack-frontend\src\tests\utils                                                                                  |          2 |        656 |          2 |        192 |        850 |
| safetrack-frontend\src\utils                                                                                        |          3 |        393 |          8 |         83 |        484 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                            | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\jyoti\emergecy\backend\.env                                                                                | Dotenv           |         16 |          0 |         16 |         32 |
| c:\Users\jyoti\emergecy\backend\Earthquakes.csv                                                                     | CSV              |     17,806 |          0 |          1 |     17,807 |
| c:\Users\jyoti\emergecy\backend\alembic.ini                                                                         | Ini              |         92 |          0 |         25 |        117 |
| c:\Users\jyoti\emergecy\backend\alembic\env.py                                                                      | Python           |         56 |          7 |         21 |         84 |
| c:\Users\jyoti\emergecy\backend\alembic\versions\978b8fc1ebc3_initial.py                                            | Python           |        183 |         12 |         10 |        205 |
| c:\Users\jyoti\emergecy\backend\alembic\versions\f52c7af886b2_initial_schema.py                                     | Python           |        183 |         19 |         11 |        213 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\api_router.py                                                            | Python           |         28 |          1 |         13 |         42 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\__init__.py                                                    | Python           |         26 |          1 |          6 |         33 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\analytics.py                                                   | Python           |         43 |          0 |         10 |         53 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\auth.py                                                        | Python           |         72 |          1 |         13 |         86 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\emergency.py                                                   | Python           |         76 |          0 |         11 |         87 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\geospatial.py                                                  | Python           |         86 |          1 |         18 |        105 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\incident_predictions.py                                        | Python           |        137 |         24 |         21 |        182 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\incidents.py                                                   | Python           |        114 |         13 |         17 |        144 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\predictions.py                                                 | Python           |        104 |         17 |         17 |        138 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\preparedness.py                                                | Python           |         92 |          1 |         14 |        107 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\realtime.py                                                    | Python           |         89 |          9 |         24 |        122 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\resource_predictions.py                                        | Python           |         23 |          0 |          5 |         28 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\tasks.py                                                       | Python           |        107 |          0 |         12 |        119 |
| c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\users.py                                                       | Python           |         93 |          1 |         18 |        112 |
| c:\Users\jyoti\emergecy\backend\app\core\config.py                                                                  | Python           |         28 |          0 |         11 |         39 |
| c:\Users\jyoti\emergecy\backend\app\core\dependencies.py                                                            | Python           |         93 |          4 |         22 |        119 |
| c:\Users\jyoti\emergecy\backend\app\core\redis.py                                                                   | Python           |         27 |          2 |          6 |         35 |
| c:\Users\jyoti\emergecy\backend\app\core\security.py                                                                | Python           |         63 |          4 |         23 |         90 |
| c:\Users\jyoti\emergecy\backend\app\crud\emergency_contact.py                                                       | Python           |         93 |          7 |         29 |        129 |
| c:\Users\jyoti\emergecy\backend\app\crud\guideline.py                                                               | Python           |         82 |          6 |         22 |        110 |
| c:\Users\jyoti\emergecy\backend\app\crud\incident.py                                                                | Python           |        126 |         12 |         29 |        167 |
| c:\Users\jyoti\emergecy\backend\app\crud\incident_prediction.py                                                     | Python           |        149 |         16 |         32 |        197 |
| c:\Users\jyoti\emergecy\backend\app\crud\prediction.py                                                              | Python           |        102 |          8 |         33 |        143 |
| c:\Users\jyoti\emergecy\backend\app\crud\task.py                                                                    | Python           |         83 |          6 |         23 |        112 |
| c:\Users\jyoti\emergecy\backend\app\crud\user.py                                                                    | Python           |         61 |          8 |         26 |         95 |
| c:\Users\jyoti\emergecy\backend\app\database\base.py                                                                | Python           |          2 |          1 |          4 |          7 |
| c:\Users\jyoti\emergecy\backend\app\database\init_db.py                                                             | Python           |         14 |          1 |          3 |         18 |
| c:\Users\jyoti\emergecy\backend\app\database\session.py                                                             | Python           |         53 |         11 |         17 |         81 |
| c:\Users\jyoti\emergecy\backend\app\main.py                                                                         | Python           |         55 |          2 |         25 |         82 |
| c:\Users\jyoti\emergecy\backend\app\models\emergency_contact.py                                                     | Python           |         18 |          0 |          8 |         26 |
| c:\Users\jyoti\emergecy\backend\app\models\guideline.py                                                             | Python           |         56 |          1 |         16 |         73 |
| c:\Users\jyoti\emergecy\backend\app\models\incident.py                                                              | Python           |         84 |          4 |         22 |        110 |
